Data Year - Fiscal_19,Ticker Symbol,Company Name,Return on Sales_19,Data Year - Fiscal_20,Return on Sales_20
2019,VFC,VF CORP,0.06486817644399093,2020,0.04414725674138392
2019,VNO,VORNADO REALTY TRUST,1.6384394540785363,2020,-0.3029482385437513
2019,VMC,VULCAN MATERIALS CO,0.12530920940382054,2020,0.12034196819074845
2019,WMT,WALMART INC,0.028539044850084194,2020,0.024257855074129205
2019,WBA,WALGREENS BOOTS ALLIANCE INC,0.02909415048295413,2020,0.0032679504360850526
2019,WST,WEST PHARMACEUTICAL SVSC INC,0.13136583509973368,2020,0.16125576412501746
2019,WY,WEYERHAEUSER CO,-0.011595971925541654,2020,0.10581518852894317
2019,WHR,WHIRLPOOL CORP,0.057985209853567754,2020,0.05556126644736842
2019,WMB,WILLIAMS COS INC,0.10364589684184855,2020,0.027335147039771992
2019,WEC,WEC ENERGY GROUP INC,0.1508952426526299,2020,0.1658588452987558
2019,LNT,ALLIANT ENERGY CORP,0.15555007264851825,2020,0.18266978922716628
2019,XRX,XEROX HOLDINGS CORP,0.14923891462607544,2020,0.027342637425234975
2019,TJX,TJX COS INC (THE),0.07843792228760968,2020,0.0028151385311405604
2019,ZION,ZIONS BANCORPORATION NA,0.2514637904468413,2020,0.1832087015635622
2019,TFC,TRUIST FINANCIAL CORP,0.21958861190573492,2020,0.18344042892808907
2019,MS,MORGAN STANLEY,0.16799509503372165,2020,0.2112705823582531
2019,TROW,PRICE (T. ROWE) GROUP,0.37937663539756855,2020,0.3822804388805645
2019,ORCL,ORACLE CORP,0.25941947373809765,2020,0.3395834877343808
2019,IT,GARTNER INC,0.05495226391596772,2020,0.06506923081238902
2019,NVR,NVR INC,0.11826692595836381,2020,0.11911753043864426
2019,FISV,FISERV INC,0.08766074408559929,2020,0.06450309722596283
2019,UNM,UNUM GROUP,0.09169472315743857,2020,0.060245540462515575
2019,CERN,CERNER CORP,0.0930074458094529,2020,0.1416850775947058
2019,PEAK,HEALTHPEAK PROPERTIES INC,0.022893685405665245,2020,0.26203465046671176
2019,PGR,PROGRESSIVE CORP-OHIO,0.10180856819761167,2020,0.1337911398491021
2019,CDNS,CADENCE DESIGN SYSTEMS INC,0.4233064919644963,2020,0.220152067303517
2019,DRE,DUKE REALTY CORP,0.42258837993273607,2020,0.29787071329465875
2019,ABMD,ABIOMED INC,0.2414235987646319,2020,0.266099287098152
2019,XRAY,DENTSPLY SIRONA INC,0.06524868460240246,2020,-0.02483542788749252
2019,VIAC,VIACOMCBS INC,0.11894146411620883,2020,0.09578801661063872
2019,ZTS,ZOETIS INC,0.2390057361376673,2020,0.2449528936742934
2019,SCHW,SCHWAB (CHARLES) CORP,0.31429783623249896,2020,0.2724419853001899
2019,FAST,FASTENAL CO,0.148283555505559,2020,0.15212579462752113
2019,FRC,FIRST REPUBLIC BANK,0.22381437770692564,2020,0.23611564119597792
2019,APH,AMPHENOL CORP,0.14041870304179738,2020,0.13994813290071986
2019,PXD,PIONEER NATURAL RESOURCES CO,0.07817185399648434,2020,-0.02847380410022779
2019,MGM,MGM RESORTS INTERNATIONAL,0.1586422507487012,2020,-0.19317864381077246
2019,WM,WASTE MANAGEMENT INC,0.10805564542219347,2020,0.09830463924300172
2019,FCX,FREEPORT-MCMORAN INC,-0.0164058209774849,2020,0.04218904070995915
